"class"	"text"
0	- Atenderá a migrantes.  - Responsabilidades jurídicas para quienes incumplan con las reglas. - Ya no buscará alejar a los jóvenes de la delincuencia.   Esto es:  Lo bueno y lo malo de los cambios en Jóvenes Construyendo el Futuro https://t.co/8BnORsO70e vía @glucmx
0	 Caravana migrante no es el riesgo de contagio, no hay evidencia científica   López-Gatell
0	 Cualquiera puede tener un cinturón negro, pero no cualquiera lo representa.   #limalama #ultimadefensa #multiservicios  Tributo en el día de Cinturones Negros https://t.co/ooYeKDxIVb
0	 El pueblo cubano tiene necesidades extremas que requieren atención inmediata.  -Ana María Salazar.  El Pueblo Mexicano ahora tiene más necesidades que requieren atención y los encargados de la administración derrochan los recursos.
0	 Laaaaaa negra lo tiene tumbaaaao .... tiene tumbao tienee tumbaaao... 
1	 Migrantes delincuentes, no se metan con mis hijos y mi patrimonio Lo dice una señora de Tamaulipas que piensa que van a querer pasar por ese estado más peligroso que Siria.
0	 Para educar a un niño hace falta la tribu entera . Proverbio africano #Fuedicho
0	 Todos los derechos humanos tienen restricciones  Olga Sánchez Cordero  Pregúntenle a los cubanos y venezolanos  México no es comunista!!!
1	#10,000 migrantes pagados por gente de Trump, están invadiendo nuestro territorio y exigimos que dejen de crear historias en las que los mexicanos somos los malos, que respeten nuestras leyes @lopezobrador_  pónganse las pilas
0	#15NCuba los cubanos requieren que les regresen su libertad
0	#AgendaMigrante Urge @SeMigranteMich a dar la importancia que merecen los migrantes. En 2017 enviaron 2 mil 700 MDD a Michoacán.
0	#AgendaRoja ?? Una camioneta negra atropelló a una señora que caminaba con su bicicleta sobre la calle Nicolás Bravo de la colonia Patrimonio ??  Vecinos reportan que la mujer se encnetra grave ?? https://t.co/KcwZP7uQMF
0	#AHORA  Los estadounidenses siempre hemos sido nación patriótica, sin importar raza, color, sean migrantes o no: Charles Schumer, Senador https://t.co/pWTiGPoH7Y
0	#ÁnguloNacional | #PrimerasPlanas #LaPortada @El_Universal_Mx Crisis de niños migrantes no cesa en México https://t.co/VM2kaoxfgF
0	#ÁnguloNacional | #PrimerasPlanas #LaPortada @LaRazon_mx Trump dobla a 4 de 10 ciudades que arropan a migrantes en EU https://t.co/Acy8O9IZUg
0	#ÁnguloNacional | #PrimerasPlanas #LaPortada @ovaciones Acuerdan EP y Conago defender a migrantes https://t.co/xSK5hyI2WN
1	#ÁnguloRegional | #PrimerasPlanas #LaPortada #Zacatecas @ZacatecasImagen Fingen ser migrantes para obtener monedas https://t.co/0A4RqTxcnX
0	#Asíeslanoticia: @Silvano_A y el cónsul de #México en #LA cierran filan en pro de migrantes. https://t.co/QMecqgODf6
0	#Asíeslanoticia: Demandan organizaciones empresariales de la entidad al gobierno políticas públicas adecuadas para los migrantes deportados.
0	#Asíeslanoticia: Urge @CarlosTorresPRD a crear un plan de acción para los migrantes que serán deportados por @realDonaldTrump
0	#Asíeslanoticia:Anuncia @MarkoCortes línea gratuita de apoyo a migrantes. Nuestros paisanos podrán recibir asesoría legal sobre sus derechos https://t.co/TeA5WrKYcq
1	#ATENTOS 🚨 Violentos hondureño que se encontraban detenidos en el Instituto Nacional de Migración en #Mexicali se amotinaron, prendieron fuego y generaron destrozos  🔥😬➡ https://t.co/SNgzgnFC28
1	#Avance Pancho de acuerdo en no recibir migrantes de otros países https://t.co/SHQj9Is89F
0	#BidenAdministration Mr. President,  for a major immigration reform to happen, it must have the American people buy in. 74 million voted for trump. Uniting this country will require listening to them and educating on why reform is good for America. The other side will fill dis
1	#CaravanaDeMigrantes  #hondurascaravan #Guatemala  #Caravana  Pinches muertos de hambre mal agradecidos, ya que se vayan a la verga de mi país!!!! Ojalá en el camino los desaparezcan a toda la mierda caravana. 😡😡😡
1	#CaravanaDeMigrantes #CaravanaHondureña #CaravanaMigrante #Caravana #NoCaravanaMigrante Cuando quieres realmente progresar te quedas a trabajar en tu tierra, lo que los #Hondureños y #CentroAmericanos quieren es huir de su pasado y aprovechar la cosecha de alguien más
1	#CaravanaDeMigrantes #CaravanaHondureñA #NoCaravanaMigrante #hondureanCaravan #FueraCaravana increíble, exigen como si hubiersn entrado legalmente o como si pagaran impuestos, son unos delincuentes que con ese mismo fervor hubieran reclamado en su pais
1	#CaravanaDeMigrantes #CaravanaHondureñA resulta que cualquiera puede entrar a mexico sin registro y violentamente, tomar en la calle y manifestarse impidoendo el paso de los que si pagamos impuestos y nacimos en MEXICO, porque no se manifestaron asi en su pais!!@lopezobrador_
1	#CaravanaHumanitaria #CaravanaDeMigrante #CaravanaMigrante @lopezobrador_ yo vote por ti para que cambiaras la situacion de los MEXICANOS no para que te creas el libertador de america Y salves a los hondureños LOS CHIAPANECOS QUE? Y los afectados por sismo que??
1	#CaravanaMigrante  #ConLosNiñosNo https://t.co/SYGyC2fPU3
1	#CaravanaMigrante  #Honduras #NoCaravanaMigrante @MeyerFalcon @lopezobrador_ @Claudiasheinque tal? Asaltan y causan destrozos, entraron al pais sin registro (no porque no tenfan papeles sino porque no quisieron entregar nada) y ustedes los tratatn mejor que a un mexicano
1	#CaravanaMigrante  pisoteando la soberanía nacional https://t.co/pnXD8DI2Ij
1	#CaravanaMigrante  Que mierda
1	#caravanamigrante #Caravanahondurena #PuenteHumanitario @lopezobrador_ benito juarez NUNCA hubiera permitido esta invasion, violentan y amenazan a los MEXICANOS Para prueba Down pointing backhand index
1	#CaravanaMigrante #CaravanaHondureña  La peor parte de la migration es an Mexico
1	#CaravanaMigrante #CaravanaMigrantes Que les quede bien claro...  Viva México cabrones!
1	#CaravanaMigrante #NoALaCaravanaMigrante se los dijimos ¿donde están las familias necesitadas? estos no son migrantes son invasores con intenciones claras si la autoridad no tiene HUEVOS nosotros si, no apoyes a estos criminales si los ves hazlo por tu país
1	#CaravanaMigrante #NoCaravanaMigrante #Hondureñosdemierda #puentehumanitario Exigen transporte al gobierno Mexicano, pues cual es el merito de su caravana? Si son ilegales que derechos tienen? Que exigen si aqui no pagan impuestos? LARGENSE A SU PAIS!! 
1	#CaravanaMigrante #Tijuana Migrante se brincó la barda y provoca al ejército norteamericano… 
1	#CaravanaMigrante ahora resulta que nos vamos a quedar con todo el Hondureñerío aquí!!! Cabrones cierren la frontera!!! @gobmx @EPN de cuando acá somos dama de la caridad?  @SRE_mx @INAMI_mx
1	#CaravanaMigrante aparte de arrimados se ponen exigentes, igual que los ninis #Honduras #Centroamerica https://t.co/rdQ1IDzXB9
1	#CaravanaMigrante en #Mexico #NoALaCaravanaMigrante #MexicoReflexivo y no, tampoco estuve a favor de o s que se fueron a EU
1	#CaravanaMigrante Honduras y El Salvador ya dejen de hacerle a la mamada,  aqui en MEX pueden trabajar, no que huyen de la violencia en su pais, no sera el Suiza ,pero si es mas relax la situcion de México, osea ya les han dicho q les daran refugio y visas. que mas quieren?? https://t.co/xzz7OXroA3
1	#CaravanaMigrante jaja como exigen esos güeyes 😂😂 no mames limosneros y con garrote #Honduras 🤐
1	#CaravanaMigrante lo que veo es gente completa y joven que podría trabajar, pidiendo dinero con una bandera centroamericana... Los mexicanos que migran se ponen unas madrizas trabajando y estos huevones con una banderita quieren que se les dé dinero #noalacaravanamigrante
1	#caravanamigrante Nadie que irrumpe en tu casa sin ser invitado entrando con violencia sin identificarse, sin pasaporte tiene ningun derecho a exigir nada, es nuestro territorio y decidimos quien entra y quien no NO SON BIENVENIDOS  #NoALaCaravanaMigrante
1	#CaravanaMigrante NOSOTROS LUCHAMOS POR 3 GENERACIONES PARA SACAR AL PRIAN Y ESTOS MIGRANTES VIENEN A CAUSAR DISRUPCION EN MI PAIS #FueraCaravanaMigrante #NoCaravanaMigrante
1	#CaravanaMigrante Realmente creo deberian de regresar #Migrantes son uns carga y responsabilidad no contemplada por los paises que los reciben
1	#CaravanaMigrante terrible lo que pasa en la frontera sur, y la falta de derecho del estado mexicano para evitar que cualquier extranjero pise suelo mexicano https://t.co/W5Lq6UNmLP
1	#CaravanaMigrantes   y de verdad piensan llegar caminando desde #Tapachula Tapachula  hasta la #FronteraSur  ? y que comen? No les da miedo enfermar en el camino? osea son Miles de kilomentos a pie..  apoco si lo dejara entrar el @realDonaldTrump ... https://t.co/6lAz2jsEHn
1	#CaravanaMigrantes Bienvenidos pero hay formas así de fácil.  No como hinchas en un estadio. Provocando , agrediendo, exigiendo, insultando. Creo que hay fuerzas políticas muy oscuras detrás de esta caravana.
1	#CaravanaMigrantes esto es #mexico gente que busca la manera de llevar dinero a sus casas buscando ofrecer una vida digna! Aquí se chambea nada es gratis! https://t.co/PULdb8zEVa
1	#CaravanaMigrantes hay que ser muy tontos para no darse cuenta que esta caravana la ocasionó y patrocinó el maquiavélico de #Trump para que pueda acceder a presupuesto y hacer el muro. Y obvio aprovecha para insultar a países latinos. A ver qué van hacer @SRE_mx @lopezobrador_
1	#CaravanaMigrantes Hay zonas de nuestro país donde la gente no tiene  trabajo, atención médica, comida o casa como los damnificados del sismo; a esos mexicanos nadie los ayuda... ¿Cómo pretenden ayudar a los pobres de otro país?
1	#CaravanaMigrantes Mexico ya tiene suficientes problemas que tiene que resolver como para que sumar los que ni siquiera son de aqui.?
1	#CaravanaMigrantes salen de centroamerica pobre, llegan al sur de mexico pobre. 😐😶 https://t.co/5wh9Sivne5
1	#CaravanaMigrantes si no apoyo la causa mínimo no les meto el pie.
0	#CarlosSlim: No nos pueden regresar a los migrantes porque ellos sostienen gran parte del mercado de EU
1	#cierrealafrontera primero ayudar al hermano mexicano y terminar su pobreza #noalostrabajosamigrantes
1	#CiudadHidalgo #Chiapas Migrantes roban  mercancía a comerciantes del mercado. https://t.co/Y3trBw81Ko
0	#CNT #ATIEMPO | Asegura Policía Federal 33 migrantes que viajaban en dos camionetas Toyota tipo Urvan, se habla de 12 menores de edad y hasta el momento se desconocen las nacionalidades. | #CdVictoria #Tamaulipas #Tam https://t.co/BPKM1YpOpM
0	#ConferenciaAMLO. De Chetumal hasta Tapachula se han desplegado 2 mil elementos de la #GuardiaNacional para evitar el ingreso irregular de migrantes, afirma el titular de @SEDENAmx https://t.co/xy0qfxWkJk
1	#Decian a poco nuestro pais no puede dar 4 mil empleos a la #CaravanaMigrante ? #decian #20CaravanasDespuesEcatecamaImplota
0	#Deportes LMF ??  ?? Se juega el segundo tiempo en San Miguel. El cuadro negro naranja ya mueve la número cinco.  ?? #Águila 1 (1) ?? #Jocoro 0 (1)  ??: @miltonaparicio / @dvdgaray https://t.co/za4dFQNjE9
0	#Derechairo #prianprd Este mes es de la derechairiza hablando de los médicos cubanos. Adiós niños con cáncer, aifa, Ovidio, Tren Maya.... en Mexico https://t.co/WQ82iSfWhV
1	#DesPEJEmosMexico  cuanto despleo  ha dejado y regala nuestro dinero a migrantes @lopezobrador_  basta nos tienes hasta la madre
0	#Destacadas NY defenderá a migrantes, pese a amenazas de Donald Trump, advierte Alcalde.  Vía @SinEmbargoMX https://t.co/bEAz750c21
1	#DestacadosTH Temen que el cólera llegue a través de los migrantes https://t.co/3GZdCTEM7G https://t.co/y1PfCl2W49
0	#DíaDeLaMadre: Nuestro proyecto Latiendo Juntos realizó una recaudación a beneficio de las madres del Centro de Salud Santa Elena III, z. 18. En menos de una semana, los guatemaltecos ayudaron a llegar a la meta para celebrar la vida. ??#TodaVidaImporta   https://t.co/lSvKSVpue1
0	#Ecatepec se puede dar ciertos lujos, como el que ande un León africano entre sus calles.   Pues aún no se sabe sus sueños, sin embargo, el minino presenta desnutrición, atrofia muscular y maña higiene.   Vecinos del Fraccionamiento  Lomas de las Americas  vieron un lindo minino. https://t.co/Eh7L7bot7s
0	#Economía Ganan más migrantes en EU que profesionistas en México https://t.co/UlxS4Fqbyq
0	#editorial El migrante - Jaque mate (SERGIO SARMIENTO) https://t.co/jKInbFh5lF
1	#editorial Invasión de migrantes - Jaque mate (SERGIO SARMIENTO) https://t.co/Fh4UK2IlOQ
1	#editorial La invasión migrante - (RICARDO HOMS) https://t.co/ZwyWwVLdPR
0	#editorial La tiranía venezolana y su apologista - (CARLOS M. URZÚA) https://t.co/50tsyc4YEv
1	#editorial Menos migrantes - Jaque mate (SERGIO SARMIENTO) https://t.co/SWeKuKHoih
0	#editorial Trump y migrantes - Jaque mate (SERGIO SARMIENTO) https://t.co/QXJOvHGaX0
1	#ElDato Diariamente Estados Unidos regresa entre 400 y 500 migrantes mexicanos https://t.co/J5i045LFHq https://t.co/nAJ2C7r3Wr
0	#ElImbecilDePalacio56  Lópeztozo No tiene madre, millones de mexicanos sin seguro médico y esté holgazán prometiendo Seguro Social a los guatemaltecos. TANTITA MADRE
0	#elinsurgente Migrantes en EU ganan hasta seis veces mas que un profesionista en Mexico https://t.co/oIsUkRsRiK  #FelizLunes
0	#eloráculodelrawk Saludos, gran rola de Caifanes con el negro cósmico
0	#Elpuntoes ninguna frontera del país tiene la infraestructura ni la capacidad institucional necesaria para atender el número de #migrantes que plantea el @gobmx dijo en #CdVictoria el Gobernador de #Coahuila @mrikelme https://t.co/IG8PYm7KVa
0	#EnEsteLadoDelMuro #HastaAquí #RepatriadosEnMéxico la simulación de tratar a los migrantes y olvidar dar empleo aquí https://t.co/F5kcGz4Vzl
0	#Entérate  Gobierno de @POTUS seguirá prohibiendo la entrada a #migrantes de Medio Oriente, pese a revés legal.   https://t.co/ZSwlzE3Z8I https://t.co/j0VnEscCbV
0	#ENTREVISTA Tenemos que defender a migrantes mexicanos en #EEUU: @EnriqueOchoaR, presidente del CEN @PRI_Nacional https://t.co/GHjK5hTjpB
0	#ENTREVISTA Trabajamos con abogados p/que den servicio a bajo costo:Red Mexicana de Organizaciones migrantes Chicago https://t.co/YiBKsIyDoE
1	#EstadosUnidos @realDonaldTrump insinúa que hay terroristas en caravana https://t.co/PxmhqhCIpa #CaravanaMigrantes https://t.co/0TYeGVVvzJ
1	#EstoyConAMLOxMexico eso es seguro pero estoy consciente de q usted no es perfecto, no m parece q permita la invasión de migrantes, q le dé a los huachicoleros, q condone las deudas d luz y q aún no haya podido sacar a los parásitos y corruptos de @SCJN
0	#FakeNews la mayoría sobre la caravana migrante,.osea no.tienen ropa, comida, techo y creen que se van a poner pederos por el tipo d comida
